STATE,ALLCOUNTIES,Time 1,Time 2,Time 3
Georgia,Pierce,Naur,Yes,Yes
Georgia,Pike,Naur,Naur,Yes
Georgia,Polk,Naur,Yes,Yes
Georgia,Pulaski,Naur,Yes,Yes
Georgia,Putnam,Naur,Yes,Yes
Georgia,Quitman,Naur,Yes,Yes
Georgia,Rabun,Naur,Naur,Yes
Georgia,Randolph,Naur,Yes,Yes
Georgia,Richmond,Naur,Yes,Yes
Georgia,Rockdale,Naur,Naur,Yes
Georgia,Schley,Naur,Yes,Yes
Georgia,Screven,Naur,Yes,Yes
Georgia,Seminole,Naur,Yes,Yes
Georgia,Spalding,Naur,Naur,Yes
Georgia,Stephens,Naur,Naur,Yes
Georgia,Stewart,Naur,Yes,Yes
Georgia,Sumter,Naur,Yes,Yes
Georgia,Talbot,Naur,Yes,Yes
Georgia,Taliaferro,Naur,Yes,Yes
Georgia,Tattnall,Naur,Yes,Yes
Georgia,Taylor,Naur,Yes,Yes
Georgia,Telfair,Naur,Yes,Yes
Georgia,Terrell,Naur,Yes,Yes
Georgia,Thomas,Naur,Yes,Yes
Georgia,Tift,Naur,Yes,Yes
Georgia,Toombs,Naur,Yes,Yes
Georgia,Towns,Naur,Naur,Yes
Georgia,Treutlen,Naur,Yes,Yes
Georgia,Troup,Naur,Naur,Yes
Georgia,Turner,Naur,Yes,Yes
Georgia,Twiggs,Naur,Yes,Yes
Georgia,Union,Naur,Naur,Yes
Georgia,Upson,Naur,Yes,Yes
Georgia,Walker,Yes,Naur,Yes
Georgia,Walton,Naur,Yes,Yes
Georgia,Ware,Naur,Yes,Yes
Georgia,Warren,Naur,Yes,Yes
Georgia,Washington,Naur,Yes,Yes
Georgia,Wayne,Naur,Yes,Yes
Georgia,Webster,Naur,Yes,Yes
Georgia,Wheeler,Naur,Yes,Yes
Georgia,White,Naur,Naur,Yes
Georgia,Whitfield,Naur,Naur,Yes
Georgia,Wilcox,Naur,Yes,Yes
Georgia,Wilkes,Naur,Yes,Yes
Georgia,Wilkinson,Naur,Yes,Yes
Georgia,Worth,Naur,Yes,Yes
Hawaii,Hawaii,Naur,Yes,Yes
Hawaii,Honolulu,Naur,Yes,Yes
Hawaii,Kalawao,Naur,Yes,Yes
Hawaii,Kauai,Naur,Yes,Yes
Hawaii,Maui,Naur,Yes,Yes
Idaho,Ada,Naur,Yes,Yes
Idaho,Adams,Naur,Yes,Yes
Idaho,Bannock,Naur,Yes,Yes
Idaho,Bear Lake,Naur,Yes,Yes
Idaho,Benewah,Naur,Yes,Yes
Idaho,Bingham,Naur,Yes,Yes
Idaho,Blaine,Naur,Yes,Yes
Idaho,Boise,Naur,Yes,Yes
Idaho,Bonner,Naur,Yes,Yes
Idaho,Bonneville,Naur,Yes,Yes
Idaho,Boundary,Naur,Yes,Yes
Idaho,Butte,Naur,Yes,Yes
Idaho,Camas,Naur,Yes,Yes
Idaho,Canyon,Naur,Yes,Yes
Idaho,Caribou,Naur,Yes,Yes
Idaho,Cassia,Naur,Yes,Yes
Idaho,Clark,Naur,Yes,Yes
Idaho,Clearwater,Naur,Yes,Yes
Idaho,Custer,Naur,Yes,Yes
Idaho,Elmore,Naur,Yes,Yes
Idaho,Franklin,Naur,Yes,Yes
Idaho,Fremont,Naur,Yes,Yes
Idaho,Gem,Naur,Yes,Yes
Idaho,Gooding,Naur,Yes,Yes
Idaho,Idaho,Naur,Yes,Yes
Idaho,Jefferson,Naur,Yes,Yes
Idaho,Jerome,Naur,Yes,Yes
Idaho,Kootenai,Naur,Yes,Yes
Idaho,Latah,Naur,Yes,Yes
Idaho,Lemhi,Naur,Yes,Yes
Idaho,Lewis,Naur,Yes,Yes
Idaho,Lincoln,Naur,Yes,Yes
Idaho,Madison,Naur,Yes,Yes
Idaho,Minidoka,Naur,Yes,Yes
Idaho,Nez Perce,Naur,Yes,Yes
Idaho,Oneida,Naur,Yes,Yes
Idaho,Owyhee,Naur,Yes,Yes
Idaho,Payette,Naur,Yes,Yes
Idaho,Power,Naur,Yes,Yes
Idaho,Shoshone,Naur,Yes,Yes
Idaho,Teton,Naur,Yes,Yes
Idaho,Twin Falls,Naur,Yes,Yes
Idaho,Valley,Naur,Yes,Yes
Idaho,Washington,Naur,Yes,Yes
Idaho,Yellowstone National Park,Naur,Yes,Yes
Illinois,Adams,Naur,Yes,Naur
